Bandit,Reward,Algorithm
690,1,thompson_sampling
691,1,thompson_sampling
692,1,thompson_sampling
693,1,thompson_sampling
694,1,thompson_sampling
695,1,thompson_sampling
696,1,thompson_sampling
697,1,thompson_sampling
698,1,thompson_sampling
699,1,thompson_sampling
700,1,thompson_sampling
701,1,thompson_sampling
702,1,thompson_sampling
703,1,thompson_sampling
704,1,thompson_sampling
705,1,thompson_sampling
706,1,thompson_sampling
707,1,thompson_sampling
708,1,thompson_sampling
709,1,thompson_sampling
710,1,thompson_sampling
711,1,thompson_sampling
712,1,thompson_sampling
713,1,thompson_sampling
714,1,thompson_sampling
715,1,thompson_sampling
716,1,thompson_sampling
717,1,thompson_sampling
718,1,thompson_sampling
719,1,thompson_sampling
720,1,thompson_sampling
721,1,thompson_sampling
722,1,thompson_sampling
723,1,thompson_sampling
724,1,thompson_sampling
725,1,thompson_sampling
726,1,thompson_sampling
727,1,thompson_sampling
728,1,thompson_sampling
729,1,thompson_sampling
730,1,thompson_sampling
731,1,thompson_sampling
732,1,thompson_sampling
733,1,thompson_sampling
734,1,thompson_sampling
735,1,thompson_sampling
736,1,thompson_sampling
737,1,thompson_sampling
738,1,thompson_sampling
739,1,thompson_sampling
740,1,thompson_sampling
741,1,thompson_sampling
742,1,thompson_sampling
743,1,thompson_sampling
744,1,thompson_sampling
745,1,thompson_sampling
746,1,thompson_sampling
747,1,thompson_sampling
748,1,thompson_sampling
749,1,thompson_sampling
750,1,thompson_sampling
751,1,thompson_sampling
752,1,thompson_sampling
753,1,thompson_sampling
754,1,thompson_sampling
755,1,thompson_sampling
756,1,thompson_sampling
757,1,thompson_sampling
758,1,thompson_sampling
759,1,thompson_sampling
760,1,thompson_sampling
761,1,thompson_sampling
762,1,thompson_sampling
763,1,thompson_sampling
764,1,thompson_sampling
765,1,thompson_sampling
766,1,thompson_sampling
767,1,thompson_sampling
768,1,thompson_sampling
769,1,thompson_sampling
770,1,thompson_sampling
771,1,thompson_sampling
772,1,thompson_sampling
773,1,thompson_sampling
774,1,thompson_sampling
775,1,thompson_sampling
776,1,thompson_sampling
777,1,thompson_sampling
778,1,thompson_sampling
779,1,thompson_sampling
780,1,thompson_sampling
781,1,thompson_sampling
782,1,thompson_sampling
783,1,thompson_sampling
784,1,thompson_sampling
785,1,thompson_sampling
786,1,thompson_sampling
787,1,thompson_sampling
788,1,thompson_sampling
789,1,thompson_sampling
790,1,thompson_sampling
791,1,thompson_sampling
792,1,thompson_sampling
793,1,thompson_sampling
794,1,thompson_sampling
795,1,thompson_sampling
796,1,thompson_sampling
797,1,thompson_sampling
798,1,thompson_sampling
799,1,thompson_sampling
800,1,thompson_sampling
801,1,thompson_sampling
802,1,thompson_sampling
803,1,thompson_sampling
804,1,thompson_sampling
805,1,thompson_sampling
806,1,thompson_sampling
807,1,thompson_sampling
808,1,thompson_sampling
809,1,thompson_sampling
810,1,thompson_sampling
811,1,thompson_sampling
812,1,thompson_sampling
813,1,thompson_sampling
814,1,thompson_sampling
815,1,thompson_sampling
816,1,thompson_sampling
817,1,thompson_sampling
818,1,thompson_sampling
819,1,thompson_sampling
820,1,thompson_sampling
821,1,thompson_sampling
822,1,thompson_sampling
823,1,thompson_sampling
824,1,thompson_sampling
825,1,thompson_sampling
826,1,thompson_sampling
827,1,thompson_sampling
828,1,thompson_sampling
829,1,thompson_sampling
830,1,thompson_sampling
831,1,thompson_sampling
832,1,thompson_sampling
833,1,thompson_sampling
834,1,thompson_sampling
835,1,thompson_sampling
836,1,thompson_sampling
837,1,thompson_sampling
838,1,thompson_sampling
839,1,thompson_sampling
840,1,thompson_sampling
841,1,thompson_sampling
842,1,thompson_sampling
843,1,thompson_sampling
844,1,thompson_sampling
845,1,thompson_sampling
846,1,thompson_sampling
847,1,thompson_sampling
848,1,thompson_sampling
849,1,thompson_sampling
850,1,thompson_sampling
851,1,thompson_sampling
852,1,thompson_sampling
853,1,thompson_sampling
854,1,thompson_sampling
855,1,thompson_sampling
856,1,thompson_sampling
857,1,thompson_sampling
858,1,thompson_sampling
859,1,thompson_sampling
860,1,thompson_sampling
861,1,thompson_sampling
862,1,thompson_sampling
863,1,thompson_sampling
864,1,thompson_sampling
865,1,thompson_sampling
866,1,thompson_sampling
867,1,thompson_sampling
868,1,thompson_sampling
869,1,thompson_sampling
870,1,thompson_sampling
871,1,thompson_sampling
872,1,thompson_sampling
873,1,thompson_sampling
874,1,thompson_sampling
875,1,thompson_sampling
876,1,thompson_sampling
877,1,thompson_sampling
878,1,thompson_sampling
879,1,thompson_sampling
880,1,thompson_sampling
881,1,thompson_sampling
882,1,thompson_sampling
883,1,thompson_sampling
884,1,thompson_sampling
885,1,thompson_sampling
886,1,thompson_sampling
887,1,thompson_sampling
888,1,thompson_sampling
889,1,thompson_sampling
890,1,thompson_sampling
891,1,thompson_sampling
892,1,thompson_sampling
893,1,thompson_sampling
894,1,thompson_sampling
895,1,thompson_sampling
896,1,thompson_sampling
897,1,thompson_sampling
898,1,thompson_sampling
899,1,thompson_sampling
900,1,thompson_sampling
901,1,thompson_sampling
902,1,thompson_sampling
903,1,thompson_sampling
904,1,thompson_sampling
905,1,thompson_sampling
906,1,thompson_sampling
907,1,thompson_sampling
908,1,thompson_sampling
909,1,thompson_sampling
910,1,thompson_sampling
911,1,thompson_sampling
912,1,thompson_sampling
913,1,thompson_sampling
914,1,thompson_sampling
915,1,thompson_sampling
916,1,thompson_sampling
917,1,thompson_sampling
918,1,thompson_sampling
919,1,thompson_sampling
920,1,thompson_sampling
921,1,thompson_sampling
922,1,thompson_sampling
923,1,thompson_sampling
924,1,thompson_sampling
925,1,thompson_sampling
926,1,thompson_sampling
927,1,thompson_sampling
928,1,thompson_sampling
929,1,thompson_sampling
930,1,thompson_sampling
931,1,thompson_sampling
932,1,thompson_sampling
933,1,thompson_sampling
934,1,thompson_sampling
935,1,thompson_sampling
936,1,thompson_sampling
937,1,thompson_sampling
938,1,thompson_sampling
939,1,thompson_sampling
940,1,thompson_sampling
941,1,thompson_sampling
942,1,thompson_sampling
943,1,thompson_sampling
944,1,thompson_sampling
945,1,thompson_sampling
946,1,thompson_sampling
947,1,thompson_sampling
948,1,thompson_sampling
949,1,thompson_sampling
950,1,thompson_sampling
951,1,thompson_sampling
952,1,thompson_sampling
953,1,thompson_sampling
954,1,thompson_sampling
955,1,thompson_sampling
956,1,thompson_sampling
957,1,thompson_sampling
958,1,thompson_sampling
959,1,thompson_sampling
960,1,thompson_sampling
961,1,thompson_sampling
962,1,thompson_sampling
963,1,thompson_sampling
964,1,thompson_sampling
965,1,thompson_sampling
966,1,thompson_sampling
967,1,thompson_sampling
968,1,thompson_sampling
969,1,thompson_sampling
970,1,thompson_sampling
971,1,thompson_sampling
972,1,thompson_sampling
973,1,thompson_sampling
974,1,thompson_sampling
975,1,thompson_sampling
976,1,thompson_sampling
977,1,thompson_sampling
978,1,thompson_sampling
979,1,thompson_sampling
980,1,thompson_sampling
981,1,thompson_sampling
982,1,thompson_sampling
983,1,thompson_sampling
984,1,thompson_sampling
985,1,thompson_sampling
986,1,thompson_sampling
987,1,thompson_sampling
988,1,thompson_sampling
989,1,thompson_sampling
990,1,thompson_sampling
991,1,thompson_sampling
992,1,thompson_sampling
993,1,thompson_sampling
994,1,thompson_sampling
995,1,thompson_sampling
996,1,thompson_sampling
997,1,thompson_sampling
998,1,thompson_sampling
999,1,thompson_sampling
1000,1,thompson_sampling
1001,1,thompson_sampling
1002,1,thompson_sampling
1003,1,thompson_sampling
1004,1,thompson_sampling
1005,1,thompson_sampling
1006,1,thompson_sampling
1007,1,thompson_sampling
1008,1,thompson_sampling
1009,1,thompson_sampling
1010,1,thompson_sampling
1011,1,thompson_sampling
1012,1,thompson_sampling
1013,1,thompson_sampling
1014,1,thompson_sampling
1015,1,thompson_sampling
1016,1,thompson_sampling
1017,1,thompson_sampling
1018,1,thompson_sampling
1019,1,thompson_sampling
1020,1,thompson_sampling
1021,1,thompson_sampling
1022,1,thompson_sampling
1023,1,thompson_sampling
1024,1,thompson_sampling
1025,1,thompson_sampling
1026,1,thompson_sampling
1027,1,thompson_sampling
1028,1,thompson_sampling
1029,1,thompson_sampling
1030,1,thompson_sampling
1031,1,thompson_sampling
1032,1,thompson_sampling
1033,1,thompson_sampling
1034,1,thompson_sampling
1035,1,thompson_sampling
1036,1,thompson_sampling
1037,1,thompson_sampling
1038,1,thompson_sampling
1039,1,thompson_sampling
1040,1,thompson_sampling
1041,1,thompson_sampling
